ID,EQUIPO_ID,PUNTOS,PUNTOS_MEDIA,NOMBRE,APODO,SLUG,POSICION_ID,POSICION,VALOR_MERCADO,ESTADO_JUGADOR,SEMANA_1,SEMANA_2,SEMANA_3,SEMANA_4,SEMANA_5,SEMANA_6,SEMANA_7,SEMANA_8,SEMANA_9,SEMANA_10,SEMANA_11,SEMANA_12,SEMANA_13,SEMANA_14,SEMANA_15,SEMANA_16,SEMANA_17,SEMANA_18,SEMANA_19,SEMANA_20,SEMANA_21,SEMANA_22,SEMANA_23,SEMANA_24,SEMANA_25,SEMANA_26,SEMANA_27,SEMANA_28,SEMANA_29,SEMANA_30,SEMANA_31,SEMANA_32,SEMANA_33,SEMANA_34,SEMANA_35,SEMANA_36,SEMANA_37,SEMANA_38,SEMANA_1_AGGR,SEMANA_2_AGGR,SEMANA_3_AGGR,SEMANA_4_AGGR,SEMANA_5_AGGR,SEMANA_6_AGGR,SEMANA_7_AGGR,SEMANA_8_AGGR,SEMANA_9_AGGR,SEMANA_10_AGGR,SEMANA_11_AGGR,SEMANA_12_AGGR,SEMANA_13_AGGR,SEMANA_14_AGGR,SEMANA_15_AGGR,SEMANA_16_AGGR,SEMANA_17_AGGR,SEMANA_18_AGGR,SEMANA_19_AGGR,SEMANA_20_AGGR,SEMANA_21_AGGR,SEMANA_22_AGGR,SEMANA_23_AGGR,SEMANA_24_AGGR,SEMANA_25_AGGR,SEMANA_26_AGGR,SEMANA_27_AGGR,SEMANA_28_AGGR,SEMANA_29_AGGR,SEMANA_30_AGGR,SEMANA_31_AGGR,SEMANA_32_AGGR,SEMANA_33_AGGR,SEMANA_34_AGGR,SEMANA_35_AGGR,SEMANA_36_AGGR,SEMANA_37_AGGR,SEMANA_38_AGGR
53,ATM,34,4.857142857142857,"Jan Oblak","Oblak",oblak,1,Portero,32048521,ok,4,9,2,6,7,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,15,21,28,30,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34
55,ATM,26,3.7142857142857144,"José María Giménez de Vargas","Giménez",gimenez,2,Defensa,18340593,ok,5,9,2,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,14,16,16,22,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26
56,ATM,24,3.4285714285714284,"Stefan Savić","Savić",savic,2,Defensa,17596130,ok,5,5,2,2,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,12,14,20,22,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
58,ATM,15,3,"Jorge Resurrección Merodio","Koke",koke,3,Centrocampista,17013796,ok,3,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,12,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
59,ATM,22,5.5,"Thomas Lemar","Lemar",thomas-lemar,3,Centrocampista,6545276,ok,6,5,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,13,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
61,GET,7,1.75,"Víctor Machín Pérez","Vitolo",vitolo,3,Centrocampista,1571437,injured,3,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
65,ATM,42,6,"Ángel Correa","Correa",angel-correa,4,Delantero,33600016,ok,13,9,5,2,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,22,27,29,34,38,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42
67,ATM,27,3.857142857142857,"Marcos Llorente","Marcos Llorente",llorente-marcos,3,Centrocampista,37872253,ok,0,4,4,4,6,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,12,18,23,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27
68,ATH,31,6.2,"Unai Simón Mendibil","Unai Simón",unai,1,Portero,14403269,ok,0,0,6,8,8,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,14,22,24,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
71,ATH,35,5,"Mikel Balenziaga Oruesagasti","Balenziaga",balenziaga,2,Defensa,5875395,doubtful,7,7,7,5,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,14,21,26,33,33,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
72,ATH,1,0.16666666666666666,"Óscar de Marcos Arana","De Marcos",de-marcos,2,Defensa,497244,ok,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
73,ATH,28,4,"Iñigo Lekue","Lekue",inigo-lekue,2,Defensa,1505731,ok,3,4,6,5,6,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,13,18,24,25,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
